domain,subject,label,source_packet,gate,effective_qualification,status,owner_role,evidence_freshness,evidence_refs,source_ref
control_proof,local_key_escrow,Local key escrow,assurance_center,governed,stable,mapped,key_custody_owner,current,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,artifacts/public-truth/m5-assurance-center.json
control_proof,data_residency_pin,Data residency pin,assurance_center,governed,stable,mapped,data_residency_owner,current,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json,artifacts/public-truth/m5-assurance-center.json
control_proof,regulated_audit_trail,Regulated audit trail,assurance_center,governed,stable,mapped,control_proof_owner,current,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json,artifacts/public-truth/m5-assurance-center.json
control_proof,vendor_path_severed,Vendor path severed,assurance_center,governed,stable,mapped,route_explainability_owner,current,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-assurance-center.json
control_proof,offline_update_path,Offline update path,assurance_center,governed,stable,mapped,event_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,artifacts/public-truth/m5-assurance-center.json
control_proof,sovereign_control_plane,Sovereign control plane,assurance_center,governed,stable,mapped,capability_boundary_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-assurance-center.json
governance_fitness,package_boundary_integrity,Package boundary integrity,governance_dashboard,governed,stable,mapped,package_governance_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-governance-dashboard.json
governance_fitness,protected_path_review,Protected-path review,governance_dashboard,governed,stable,mapped,package_governance_owner,current,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,artifacts/public-truth/m5-governance-dashboard.json
governance_fitness,schema_example_parity,Schema / example parity,governance_dashboard,governed,stable,mapped,evidence_pipeline_owner,current,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,artifacts/public-truth/m5-governance-dashboard.json
governance_fitness,evidence_freshness_slo,Evidence freshness SLO,governance_dashboard,governed,stable,mapped,evidence_pipeline_owner,current,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,artifacts/public-truth/m5-governance-dashboard.json
governance_fitness,claim_no_overclaim,Claim no-overclaim,governance_dashboard,governed,stable,mapped,claim_publication_owner,current,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json,artifacts/public-truth/m5-governance-dashboard.json
governance_fitness,route_explainability,Route explainability,governance_dashboard,governed,stable,mapped,route_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-governance-dashboard.json
governance_fitness,provenance_completeness,Provenance completeness,governance_dashboard,governed,stable,mapped,route_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,artifacts/public-truth/m5-governance-dashboard.json
service_ownership,package_governance,Package governance,governance_dashboard,governed,stable,mapped,package_governance_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json;artifacts/release-proof/m5-assurance-route-governance/control-proof.json,artifacts/public-truth/m5-governance-dashboard.json
service_ownership,evidence_pipeline,Evidence pipeline,governance_dashboard,governed,stable,mapped,evidence_pipeline_owner,current,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json;artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,artifacts/public-truth/m5-governance-dashboard.json
service_ownership,claim_publication,Claim publication,governance_dashboard,governed,stable,mapped,claim_publication_owner,current,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json,artifacts/public-truth/m5-governance-dashboard.json
service_ownership,route_provenance,Route / provenance,governance_dashboard,governed,stable,mapped,route_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/route-hop.json;artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,artifacts/public-truth/m5-governance-dashboard.json
decision_right,stable_promotion,Stable promotion,governance_dashboard,governed,stable,mapped,release_owner,current,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json;artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json;artifacts/release-proof/m5-assurance-route-governance/control-proof.json;artifacts/release-proof/m5-assurance-route-governance/event-provenance.json;artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json;artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-governance-dashboard.json
decision_right,waiver_acceptance,Waiver acceptance,governance_dashboard,governed,stable,mapped,governance_owner,current,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json;artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json;artifacts/release-proof/m5-assurance-route-governance/control-proof.json;artifacts/release-proof/m5-assurance-route-governance/event-provenance.json;artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json;artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-governance-dashboard.json
decision_right,boundary_change,Boundary change,governance_dashboard,governed,stable,mapped,architecture_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json;artifacts/release-proof/m5-assurance-route-governance/control-proof.json,artifacts/public-truth/m5-governance-dashboard.json
decision_right,exception_renewal,Exception renewal,governance_dashboard,governed,stable,mapped,governance_owner,current,artifacts/release-proof/m5-assurance-route-governance/assurance-claim.json;artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json;artifacts/release-proof/m5-assurance-route-governance/control-proof.json;artifacts/release-proof/m5-assurance-route-governance/event-provenance.json;artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json;artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-governance-dashboard.json
capability_boundary,local_model_execution,Local model execution,boundary_inspector,governed,stable,mapped,capability_boundary_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-boundary-inspector.json
capability_boundary,remote_model_inference,Remote model inference,boundary_inspector,governed,stable,mapped,capability_boundary_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-boundary-inspector.json
capability_boundary,provider_credential_rotation,Provider credential rotation,boundary_inspector,governed,stable,mapped,capability_boundary_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-boundary-inspector.json
capability_boundary,workspace_data_export,Workspace data export,boundary_inspector,governed,stable,mapped,capability_boundary_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-boundary-inspector.json
capability_boundary,control_plane_sync,Control-plane sync,boundary_inspector,governed,stable,mapped,capability_boundary_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-boundary-inspector.json
capability_boundary,offline_model_acquisition,Offline model acquisition,boundary_inspector,governed,stable,mapped,capability_boundary_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-boundary-inspector.json
capability_boundary,admin_policy_push,Admin policy push,boundary_inspector,governed,stable,mapped,capability_boundary_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-boundary-inspector.json
capability_boundary,support_bundle_handoff,Support bundle handoff,boundary_inspector,governed,stable,mapped,capability_boundary_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-boundary-inspector.json
route_timeline,local_model_execution,Local model execution,boundary_inspector,governed,stable,mapped,route_explainability_owner,current,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-boundary-inspector.json
route_timeline,remote_model_inference,Remote model inference,boundary_inspector,governed,stable,mapped,route_explainability_owner,current,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-boundary-inspector.json
route_timeline,provider_credential_rotation,Provider credential rotation,boundary_inspector,governed,stable,mapped,route_explainability_owner,current,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-boundary-inspector.json
route_timeline,workspace_data_export,Workspace data export,boundary_inspector,governed,stable,mapped,route_explainability_owner,current,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-boundary-inspector.json
route_timeline,control_plane_sync,Control-plane sync,boundary_inspector,governed,stable,mapped,route_explainability_owner,current,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-boundary-inspector.json
route_timeline,offline_model_acquisition,Offline model acquisition,boundary_inspector,governed,stable,mapped,route_explainability_owner,current,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-boundary-inspector.json
route_timeline,admin_policy_push,Admin policy push,boundary_inspector,governed,stable,mapped,route_explainability_owner,current,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-boundary-inspector.json
route_timeline,support_bundle_handoff,Support bundle handoff,boundary_inspector,governed,stable,mapped,route_explainability_owner,current,artifacts/release-proof/m5-assurance-route-governance/route-hop.json,artifacts/public-truth/m5-boundary-inspector.json
approval_ticket,local_model_execution,Local model execution,boundary_inspector,governed,stable,mapped,runtime_authority_owner,current,artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,artifacts/public-truth/m5-boundary-inspector.json
approval_ticket,remote_model_inference,Remote model inference,boundary_inspector,governed,stable,mapped,runtime_authority_owner,current,artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,artifacts/public-truth/m5-boundary-inspector.json
approval_ticket,provider_credential_rotation,Provider credential rotation,boundary_inspector,governed,stable,mapped,runtime_authority_owner,current,artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,artifacts/public-truth/m5-boundary-inspector.json
approval_ticket,workspace_data_export,Workspace data export,boundary_inspector,governed,stable,mapped,runtime_authority_owner,current,artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,artifacts/public-truth/m5-boundary-inspector.json
approval_ticket,control_plane_sync,Control-plane sync,boundary_inspector,governed,stable,mapped,runtime_authority_owner,current,artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,artifacts/public-truth/m5-boundary-inspector.json
approval_ticket,offline_model_acquisition,Offline model acquisition,boundary_inspector,governed,stable,mapped,runtime_authority_owner,current,artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,artifacts/public-truth/m5-boundary-inspector.json
approval_ticket,admin_policy_push,Admin policy push,boundary_inspector,governed,stable,mapped,runtime_authority_owner,current,artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,artifacts/public-truth/m5-boundary-inspector.json
approval_ticket,support_bundle_handoff,Support bundle handoff,boundary_inspector,governed,stable,mapped,runtime_authority_owner,current,artifacts/release-proof/m5-assurance-route-governance/approval-ticket.json,artifacts/public-truth/m5-boundary-inspector.json
event_provenance,queued_prompt_replay,Queued prompt replay,event_provenance,governed,stable,mapped,event_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,artifacts/public-truth/m5-event-provenance.json
event_provenance,deferred_model_download,Deferred model download,event_provenance,governed,stable,mapped,event_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,artifacts/public-truth/m5-event-provenance.json
event_provenance,scheduled_credential_rotation,Scheduled credential rotation,event_provenance,governed,stable,mapped,event_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,artifacts/public-truth/m5-event-provenance.json
event_provenance,publish_later_data_export,Publish-later data export,event_provenance,governed,stable,mapped,event_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,artifacts/public-truth/m5-event-provenance.json
event_provenance,queued_control_plane_sync,Queued control-plane sync,event_provenance,governed,stable,mapped,event_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,artifacts/public-truth/m5-event-provenance.json
event_provenance,retried_policy_push,Retried policy push,event_provenance,governed,stable,mapped,event_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,artifacts/public-truth/m5-event-provenance.json
event_provenance,deferred_support_handoff,Deferred support handoff,event_provenance,governed,stable,mapped,event_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,artifacts/public-truth/m5-event-provenance.json
event_provenance,replayed_audit_export,Replayed audit export,event_provenance,governed,stable,mapped,event_provenance_owner,current,artifacts/release-proof/m5-assurance-route-governance/event-provenance.json,artifacts/public-truth/m5-event-provenance.json
